Domain,Organization,Risk Level,Risk Score,Matched Keyword,Reasons
"logansportbob.com","Bank of Baroda (BoB)","MEDIUM",25,"bob","Contains brand keyword: 'bob'"
"loggynic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"logitonics.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"logon-rnicrosoft.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lojadomecanicoblack.shop","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lolabob.com","Bank of Baroda (BoB)","MEDIUM",25,"bob","Contains brand keyword: 'bob'"
"lollibeautyclinic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"londonclinicdepartmentofprocurement.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"londonminicab.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"longique-clinics.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"longitudelife.clinic","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lopnb.ru","Punjab National Bank (PNB)","MEDIUM",25,"pnb","Contains brand keyword: 'pnb'"
"lornicgroup.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"losangelesboatmechanics.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"losangeleshealthclinic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"loscarnicerostacos.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lotus-dental-clinic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lotusbotanica.store","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lotuspolyclinic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"loubobs.com","Bank of Baroda (BoB)","MEDIUM",25,"bob","Contains brand keyword: 'bob'"
"lovefromtheunicorns.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lovelightbotanica.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lovelyunicorn.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lovemonicalynn.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lowkeynicerecords.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"loyalty-electronicline.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lpkfelectronics.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lrishmechanicalservices.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lrtcommunications.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lrultrasornics.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lsbinsurance.net","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lsbinsurance.shop","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lsbinsurance.store","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lsbipcn.shop","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lsucyberclinic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"ltsbi.app","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"luabotanical.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"luaestheticsclinic.co.uk","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lubobabytoys.com","Bank of Baroda (BoB)","MEDIUM",25,"bob","Contains brand keyword: 'bob'"
"lucasbieganskiphotography.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"luciasbiz.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lucidnewschronicle.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lucky-turbobets.click","Bank of Baroda (BoB)","MEDIUM",25,"bob","Contains brand keyword: 'bob'"
"luener-nacht-der-ausbildung.net","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"luizasolucoestecnicas.com.br","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lumelaserskinbeautyclinicnorwich.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lumenics.store","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lumenics.uk","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lumerisbio.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lumiconic-paris.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"luminacomunicacaovisual.com.br","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"luminousbiomeds.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lumoratechnicalservices.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lumyncommunications.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lumynhealthcommunications.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"luna-clinic.uk","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunaorganicsph.store","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunarbrandcommunication.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunaria-organic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunarskinclinic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunarskinspaclinic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunartechnic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunexelectronics.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunfaicommunication.asia","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunic.pro","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunicmusic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lunivaorganics.store","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
